,src_conn,dst_conn,source_,transport_,destination_,source_hash,destination_hash
83,crm-stat-handmadeupsells,vertica_writer,crm.handmade_upsell,kafka_to_vertica,crm.handmade_upsell,4130829261543309214,3527487864899887553
84,crm-stat-handmadeupsells,vertica_writer,crm.handmade_upsell_history,kafka_to_vertica,crm.handmade_upsell_history,19499365005717180,8597817521630617985
85,crm-stat-handmadeupsells,vertica_writer,crm.handmade_upsell_action,kafka_to_vertica,crm.handmade_upsell,57666078451279132,3527487864899887553
86,crm-stat-handmadeupsells,vertica_writer,crm.handmade_upsell_action_history,kafka_to_vertica,crm.handmade_upsell_history,3983080129149400704,8597817521630617985
87,crm-stat-handmadeupsells,vertica_writer,crm.handmade_upsell_to_action_history,kafka_to_vertica,crm.handmade_upsell_history,4836507850859486280,8597817521630617985
88,hotcore-bar-rates,vertica_writer,hotcore.bar_rates,kafka_to_vertica,hotcore.bar_rates,5460764648571534030,1456558527096148337
89,fnb-cancellation-predictions-side-models-prod,vertica_writer,rnd.fnb_predictions_from_side_models_log,kafka_to_vertica,rnd.fnb_predictions_from_side_models_log,4125693506088859258,4186107209627069135
90,crm-stat-partners,vertica_writer,crm.partners,kafka_to_vertica,crm.partners,620422064427128885,9024557379459718238
91,crm-stat-partners,vertica_writer,crm.partners_history,kafka_to_vertica,crm.partners_history,1965517811674633213,7989774673174671021
92,crm-stat-tickets,vertica_writer,crm.ticket,kafka_to_vertica,crm.ticket,5745065542089019894,7537395571399535087
93,crm-stat-tickets,vertica_writer,crm.ticket_history,kafka_to_vertica,crm.ticket_history,1422786443768285453,3624892233935290806
94,crm-stat-clients,vertica_writer,crm.client,kafka_to_vertica,crm.client,1045945280294912861,8906673545530424421
95,crm-stat-clients,vertica_writer,crm.client_history,kafka_to_vertica,crm.client_history,6114565129148745188,5571341657616167149
96,rnd-bandit-pricing-actions-prod,vertica_writer,rnd.bandit_pricing_actions,kafka_to_vertica,rnd.bandit_pricing_actions,3350869900644693994,4129960220340705788
97,rnd-bandit-pricing-actions-prod,vertica_writer,rnd.bandit_pricing_actions_history,kafka_to_vertica,rnd.bandit_pricing_actions_history,5418443032933175483,4393017662017046895
98,rnd-churn-prediction-b2b-scores-prod,vertica_writer,rnd.churn_prediction_b2b_score,kafka_to_vertica,rnd.churn_prediction_b2b_score,7093041693630121906,5621039068509631188
99,rnd-churn-prediction-b2b-scores-prod,vertica_writer,rnd.churn_prediction_b2b_score_history,kafka_to_vertica,rnd.churn_prediction_b2b_score_history,2484953954421943890,4868125627795099584
100,hc-listener-display,vertica_writer,funnel.raw_display,kafka_to_vertica,funnel.raw_display,4110630426562855803,1310891609788902911
101,rate-reprice-prod,vertica_writer,public.rate_reprice_kafka,kafka_to_vertica,public.rate_reprice_kafka,1745490570010798840,1112521489017572576
102,crm-stat-action-log,vertica_writer,crm.action_log,kafka_to_vertica,crm.action_log,8883770068355193259,1576818300445834192
103,crm-stat-action-log,vertica_writer,crm.action_log_history,kafka_to_vertica,crm.action_log_history,6077841747098007,7242622195774863965
104,crm-stat-orderitems,vertica_writer,crm.orderitem,kafka_to_vertica,crm.orderitem,341556259183193131,8272693686451834559
105,crm-stat-orderitems,vertica_writer,crm.orderitem_history,kafka_to_vertica,crm.orderitem_history,3782935865848591384,7393317381831311222
106,fnb-versioned-backtests-prod,vertica_writer,rnd.fnb_versioned_backtests,kafka_to_vertica,rnd.fnb_versioned_backtests,7036221073131756298,1421590606728221989
107,flat-kraken-rates,vertica_writer,metasearch.kraken_rates_raw,kafka_to_vertica,metasearch.kraken_rates_raw,3041909297754918200,2115631658307949037
108,crm-stat-supply,vertica_writer,crm.supply,kafka_to_vertica,crm.supply,4690879666294958402,4969102671240748865
109,crm-stat-supply,vertica_writer,crm.supply_history,kafka_to_vertica,crm.supply_history,8001372686731555908,3051073986111490311
110,crm-stat-evaluations,vertica_writer,crm.evaluations,kafka_to_vertica,crm.evaluations,9162118539596833936,4135363708056777611
111,crm-stat-evaluations,vertica_writer,crm.evaluations_history,kafka_to_vertica,crm.evaluations_history,3294471483986693059,6106734694125161771
112,crm-stat-overrides,vertica_writer,crm.override,kafka_to_vertica,crm.override,8743703060256523995,5709519298242906412
113,crm-stat-overrides,vertica_writer,crm.override_history,kafka_to_vertica,crm.override_history,4498865370304770138,6715645058963343020
114,crm-stat-exchangeloss,vertica_writer,crm.exchange_loss,kafka_to_vertica,crm.exchange_loss,4870152392319504980,6745978498310535854
115,crm-stat-exchangeloss,vertica_writer,crm.exchange_loss_history,kafka_to_vertica,crm.exchange_loss_history,8386056857355188450,6132566349988696046
116,hc-listener-extension-serp,vertica_writer,weblogs2.extension_serp,kafka_to_vertica,weblogs2.extension_serp,7996538500955931195,9161861589176248536
117,vertica-dc-allocation-pool-statistics-by-hour,vertica_writer,monitoring.dc_allocation_pool_statistics_by_hour,kafka_to_vertica,monitoring.dc_allocation_pool_statistics_by_hour,7440729586256327080,5014920979718725575
118,vertica-dc-tuple-mover-events,vertica_writer,monitoring.dc_tuple_mover_events,kafka_to_vertica,monitoring.dc_tuple_mover_events,7623280828108313399,1181513317656224052
119,vertica-dc-cpu-aggregate-by-hour,vertica_writer,monitoring.dc_cpu_aggregate_by_hour,kafka_to_vertica,monitoring.dc_cpu_aggregate_by_hour,2623759858629672655,7984428734467319761
120,rnd-partner-geo-prod,vertica_writer,rnd.partner_geo,kafka_to_vertica,rnd.partner_geo,6993043861499092357,2337899194653678806
121,hc-listener-funnel,vertica_writer,analytics_sandbox.hc_20231001,kafka_to_vertica,analytics_sandbox.hc_20231001,1194681310096812752,4859734458046632789
122,vertica-dc-errors-prod,vertica_writer,monitoring.dc_errors,kafka_to_vertica,monitoring.dc_errors,5718657417440514850,9096794348563119682
123,hc-listener-cookie,vertica_writer,funnel.raw_cookie,kafka_to_vertica,funnel.raw_cookie,3037200975955441303,6858560723552351082
124,hc-listener-funnel-attribution,vertica_writer,funnel.raw_attribution,kafka_to_vertica,funnel.raw_attribution,5375285759431341699,1510564443817232022
